hospital_name,hospital_type,star_rating,readmit_success_count,readmit_fail_count,community_income,community_population
ATHOL MEMORIAL HOSPITAL,Critical Access Hospitals,1,0,0,53733.0,13281.0
SAINT MARY'S STANDISH COMMUNITY HOSPITAL,Critical Access Hospitals,5,0,0,39048.0,5051.0
SPARROW IONIA HOSPITAL,Critical Access Hospitals,4,1,0,44710.0,20029.0
DISTRICT ONE HOSPITAL,Acute Care Hospitals,4,1,0,58554.0,29765.0
AVERA MARSHALL REGIONAL MEDICAL CTR,Critical Access Hospitals,3,0,0,51804.0,15457.0
COMMUNITY MEMORIAL HOSPITAL,Critical Access Hospitals,3,0,0,55223.0,16815.0
ST JOSEPHS AREA  HEALTH SERVICES,Critical Access Hospitals,2,1,0,52025.0,10532.0
GEORGE REGIONAL HEALTH SYSTEM,Acute Care Hospitals,1,0,1,48770.0,27054.0
NESHOBA COUNTY GENERAL HOSPITAL,Acute Care Hospitals,2,0,0,37500.0,25662.0
BAPTIST MEDICAL CENTER-LEAKE,Critical Access Hospitals,4,0,0,36616.0,17142.0
TEXAS COUNTY MEMORIAL HOSPITAL,Acute Care Hospitals,1,0,1,30496.0,4296.0
WRIGHT MEMORIAL HOSPITAL,Critical Access Hospitals,5,0,0,40995.0,8124.0
HEDRICK MEDICAL CENTER,Critical Access Hospitals,4,0,0,45156.0,11987.0
FREEMAN NEOSHO HOSPITAL,Critical Access Hospitals,2,0,0,42015.0,23745.0
MERCY HOSPITAL CARTHAGE,Critical Access Hospitals,4,2,0,43175.0,23111.0
LIVINGSTON HEALTHCARE,Critical Access Hospitals,4,0,0,42998.0,12139.0
COTTAGE HOSPITAL,Critical Access Hospitals,3,0,0,43625.0,2125.0
ROOSEVELT GENERAL HOSPITAL,Acute Care Hospitals,2,0,0,35388.0,18064.0
LINCOLN COUNTY MEDICAL CENTER,Critical Access Hospitals,3,0,0,42651.0,8229.0
BERTRAND CHAFFEE HOSPITAL,Acute Care Hospitals,2,0,2,56114.0,7423.0
HARDIN MEMORIAL HOSPITAL,Critical Access Hospitals,3,0,2,45887.0,13687.0
WYANDOT MEMORIAL HOSPITAL,Critical Access Hospitals,5,1,0,47301.0,10254.0
ALLIANCEHEALTH CLINTON,Acute Care Hospitals,4,0,0,46435.0,10401.0
STILLWATER MEDICAL-BLACKWELL,Acute Care Hospitals,2,0,0,41932.0,7506.0
CHOCTAW MEMORIAL HOSPITAL,Acute Care Hospitals,2,1,1,29665.0,8591.0
SEQUOYAH COUNTY-CITY OF SALLISAW HOSPITAL AUTHORIT,Acute Care Hospitals,3,1,0,34816.0,15032.0
STILLWATER MEDICAL - PERRY,Acute Care Hospitals,2,0,0,52409.0,6805.0
PURCELL MUNICIPAL HOSPITAL,Acute Care Hospitals,4,1,0,50750.0,9592.0
MEMORIAL HOSPITAL,Acute Care Hospitals,5,3,0,32214.0,13861.0
HILLCREST HOSPITAL HENRYETTA,Acute Care Hospitals,3,0,0,36911.0,10178.0
ALLIANCEHEALTH SEMINOLE,Acute Care Hospitals,4,1,0,41335.0,13700.0
"SAINT FRANCIS HOSPITAL VINITA, INC",Acute Care Hospitals,3,0,0,40603.0,11633.0
EASTERN OKLAHOMA MEDICAL CENTER,Critical Access Hospitals,4,0,0,42123.0,11787.0
ST CHARLES PRINEVILLE,Critical Access Hospitals,3,1,0,37236.0,19301.0
ST. ALPHONSUS MEDICAL CENTER - BAKER CITY,Critical Access Hospitals,4,2,0,44464.0,12322.0
HIMA SAN PABLO-CAGUAS,Acute Care Hospitals,1,0,3,20374.0,82822.0
WAYNE MEDICAL CENTER,Acute Care Hospitals,3,1,0,34018.0,6358.0
DEKALB COMMUNITY HOSPITAL,Acute Care Hospitals,4,1,0,40078.0,14074.0
"JELLICO MEDICAL CENTER, INC",Acute Care Hospitals,2,0,0,25441.0,2970.0
RIVERVIEW REGIONAL MEDICAL CENTER,Critical Access Hospitals,2,0,0,41883.0,6937.0
PERMIAN REGIONAL MEDICAL CENTER ANDREWS COUNTY HO,Acute Care Hospitals,3,0,0,70753.0,17577.0
HEREFORD REGIONAL MEDICAL CENTER,Acute Care Hospitals,2,1,0,51564.0,19066.0
EAST TEXAS MEDICAL CENTER - CARTHAGE,Acute Care Hospitals,2,0,0,48559.0,13779.0
CHRISTUS JASPER MEMORIAL HOSPITAL,Acute Care Hospitals,4,1,0,37002.0,16072.0
WILBARGER GENERAL HOSPITAL,Acute Care Hospitals,3,0,1,43592.0,12385.0
FREESTONE MEDICAL CENTER,Acute Care Hospitals,3,0,0,49130.0,6950.0
EL CAMPO MEMORIAL HOSPITAL,Acute Care Hospitals,2,0,0,50465.0,16875.0
THE HEART HOSPITAL BAYLOR DENTON,Acute Care Hospitals,5,1,0,74813.0,23463.0
MEMORIAL MEDICAL CENTER,Critical Access Hospitals,4,0,0,59675.0,17526.0
UT HEALTH EAST TEXAS PITTSBURG HOSPITAL,Critical Access Hospitals,5,0,0,44394.0,13047.0
ASCENSION SETON EDGAR B DAVIS,Critical Access Hospitals,4,0,0,43385.0,7791.0
"PAGE MEMORIAL HOSPITAL, INC",Critical Access Hospitals,3,1,0,49434.0,11591.0
POTOMAC VALLEY HOSPITAL,Critical Access Hospitals,4,0,0,38732.0,13333.0
THEDACARE MEDICAL CENTER - NEW LONDON,Critical Access Hospitals,3,0,0,55898.0,13790.0
CROSSING RIVERS HEALTH MEDICAL CENTER,Critical Access Hospitals,4,0,0,46345.0,8287.0
MEMORIAL HOSPITAL OF CONVERSE COUNTY,Critical Access Hospitals,3,0,0,64646.0,10035.0
FAYETTE MEDICAL CENTER,Acute Care Hospitals,4,0,0,38070.0,9619.0
BAPTIST HEALTH - VAN BUREN,Acute Care Hospitals,4,0,0,42796.0,34694.0
UCHEALTH PIKES PEAK REGIONAL HOSPITAL,Critical Access Hospitals,4,0,0,77348.0,12876.0
ARKANSAS VALLEY REGIONAL MEDICAL CENTER,Critical Access Hospitals,1,0,0,33091.0,9064.0
NORTH CANYON MEDICAL CENTER,Critical Access Hospitals,3,1,0,44153.0,6480.0
MINIDOKA MEMORIAL HOSPITAL,Critical Access Hospitals,4,2,0,44701.0,12418.0
ST JOSEPHS HOSPITAL,Acute Care Hospitals,4,1,0,69673.0,6242.0
PARIS COMMUNITY HOSPITAL,Critical Access Hospitals,3,2,0,45826.0,11918.0
"PARKVIEW WABASH HOSPITAL, INC",Critical Access Hospitals,4,2,0,48068.0,16251.0
HARRISON COUNTY HOSPITAL,Critical Access Hospitals,4,0,0,55806.0,16704.0
WAVERLY HEALTH CENTER,Critical Access Hospitals,3,1,0,67874.0,12156.0
SOUTH CENTRAL KS  MED CENTER,Acute Care Hospitals,3,1,0,41619.0,15902.0
NEOSHO MEMORIAL REGIONAL MEDICAL CENTER,Critical Access Hospitals,3,0,1,42614.0,11381.0
WILLIAM NEWTON HOSPITAL,Critical Access Hospitals,2,0,0,50811.0,14690.0
JEWISH HOSPITAL - SHELBYVILLE,Acute Care Hospitals,3,0,0,59402.0,30587.0
BOURBON COMMUNITY HOSPITAL,Acute Care Hospitals,3,0,0,49053.0,18375.0
SAINT JOSEPH BEREA,Critical Access Hospitals,5,1,0,46106.0,24575.0
AVOYELLES HOSPITAL,Acute Care Hospitals,2,0,1,29755.0,10729.0
FRANKLIN MEDICAL CENTER,Acute Care Hospitals,3,0,0,32575.0,14202.0
BRIDGTON HOSPITAL,Critical Access Hospitals,3,1,0,48524.0,5282.0
LAUREL REGIONAL MEDICAL CENTER,Acute Care Hospitals,1,0,1,78183.0,32843.0
MERCY HOSPITAL LINCOLN,Critical Access Hospitals,4,0,0,63411.0,24878.0
CABINET PEAKS MEDICAL CENTER,Critical Access Hospitals,3,1,0,37685.0,9453.0
MARCUS DALY MEMORIAL HOSPITAL - CAH,Critical Access Hospitals,3,1,0,37382.0,13597.0
BRODSTONE MEMORIAL HOSP,Critical Access Hospitals,4,1,0,37591.0,2104.0
MEMORIAL HEALTH CARE SYSTEMS,Critical Access Hospitals,4,0,0,64538.0,8652.0
VALLEY REGIONAL HOSPITAL,Critical Access Hospitals,4,2,0,47009.0,13739.0
ST JAMES MERCY HOSPITAL,Acute Care Hospitals,2,1,0,44792.0,12919.0
JAMESTOWN REGIONAL MEDICAL CENTER,Critical Access Hospitals,2,0,0,55379.0,17078.0
AULTMAN ORRVILLE HOSPITAL,Critical Access Hospitals,4,0,0,53148.0,13909.0
ADAMS COUNTY REGIONAL MEDICAL CENTER,Critical Access Hospitals,1,1,0,41786.0,2296.0
HILLCREST HOSPITAL CUSHING,Acute Care Hospitals,3,0,0,41993.0,11479.0
COQUILLE VALLEY HOSPITAL DISTRICT,Critical Access Hospitals,3,0,1,35169.0,6579.0
LOCK HAVEN HOSPITAL,Acute Care Hospitals,4,1,0,42630.0,18948.0
TYLER MEMORIAL HOSPITAL,Acute Care Hospitals,3,0,0,59684.0,11996.0
GUTHRIE TOWANDA MEMORIAL HOSPITAL,Acute Care Hospitals,3,0,0,47500.0,8542.0
ENDLESS MOUNTAINS HEALTH SYSTEMS,Critical Access Hospitals,2,0,0,56522.0,8134.0
PENN HIGHLANDS BROOKVILLE,Critical Access Hospitals,4,0,0,51208.0,8922.0
TITUSVILLE HOSPITAL,Critical Access Hospitals,5,0,0,42039.0,10999.0
HIMA SAN PABLO BAYAMON,Acute Care Hospitals,1,0,2,28455.0,31017.0
UNITY MEDICAL CENTER,Acute Care Hospitals,4,1,0,49663.0,25867.0
MILAN GENERAL HOSPITAL,Acute Care Hospitals,2,0,1,46681.0,11524.0
TENNOVA HEALTHCARE-SHELBYVILLE,Acute Care Hospitals,3,0,0,45418.0,34037.0
SAINT THOMAS HIGHLANDS HOSPITAL,Acute Care Hospitals,3,1,0,37962.0,24103.0
COLUMBUS COMMUNITY HOSPITAL,Acute Care Hospitals,4,0,0,44775.0,6238.0
CUERO REGIONAL HOSPITAL,Acute Care Hospitals,4,1,0,59512.0,12256.0
STARR COUNTY MEMORIAL HOSPITAL,Acute Care Hospitals,2,0,0,30634.0,42644.0
UT HEALTH EAST TEXAS QUITMAN HOSPITAL,Critical Access Hospitals,5,0,0,46367.0,7559.0
CARILION STONEWALL JACKSON HOSPITAL,Critical Access Hospitals,2,1,0,52176.0,16715.0
PROVIDENCE MOUNT CARMEL HOSPITAL,Critical Access Hospitals,3,1,0,44658.0,12038.0
WHITMAN HOSPITAL AND MEDICAL CENTER,Critical Access Hospitals,3,1,0,52792.0,4312.0
ASTRIA SUNNYSIDE HOSPITAL,Critical Access Hospitals,2,1,0,43434.0,22442.0
MAYO CLINIC HEALTH SYSTEM-NORTHLAND,Critical Access Hospitals,2,2,0,47619.0,5610.0
TOMAH MEMORIAL HOSPITAL,Critical Access Hospitals,2,1,0,54355.0,16240.0
RIVER FALLS AREA HOSPITAL,Critical Access Hospitals,4,0,0,67107.0,22898.0
POWELL VALLEY HOSPITAL,Critical Access Hospitals,4,1,0,60199.0,11719.0
MONROE COUNTY HOSPITAL,Acute Care Hospitals,3,0,0,26172.0,10415.0
SANTA CRUZ VALLEY REGIONAL HOSPITAL,Acute Care Hospitals,1,2,0,49915.0,23229.0
STONE COUNTY MEDICAL CENTER,Critical Access Hospitals,5,0,0,32105.0,9116.0
OZARK HEALTH,Critical Access Hospitals,4,0,0,35112.0,7123.0
MERCY MEDICAL CENTER OF MT SHASTA,Critical Access Hospitals,3,2,0,39275.0,6991.0
HEALDSBURG DISTRICT HOSPITAL,Critical Access Hospitals,3,1,0,78515.0,17666.0
SOUTHWEST MEMORIAL HOSPITAL,Critical Access Hospitals,3,2,0,45036.0,14960.0
CENTURA HEALTH-ST THOMAS MORE HOSPITAL,Critical Access Hospitals,3,0,0,44535.0,30053.0
FRANKLIN COUNTY MEDICAL CENTER,Critical Access Hospitals,3,1,0,50727.0,9264.0
WABASH GENERAL HOSPITAL 1,Critical Access Hospitals,4,2,0,48682.0,9713.0
PERRY MEMORIAL HOSPITAL,Critical Access Hospitals,2,1,1,56156.0,10728.0
DUKES MEMORIAL HOSPITAL,Critical Access Hospitals,3,0,0,42829.0,23323.0
UNITYPOINT HEALTH - MARSHALLTOWN,Acute Care Hospitals,2,0,0,51263.0,31221.0
WASHINGTON COUNTY HOSPITAL AND CLINICS,Critical Access Hospitals,3,0,0,51678.0,9284.0
AVERA HOLY FAMILY HOSPITAL,Critical Access Hospitals,3,0,0,50833.0,7000.0
WAYNE COUNTY HOSPITAL,Critical Access Hospitals,3,0,1,50195.0,2507.0
ORANGE CITY AREA HEALTH SYSTEM,Critical Access Hospitals,2,0,0,74375.0,7414.0
COFFEY COUNTY HOSPITAL,Critical Access Hospitals,4,0,0,61620.0,3812.0
OHIO COUNTY HOSPITAL,Critical Access Hospitals,3,0,0,42402.0,6218.0
FAIRVIEW HOSPITAL,Critical Access Hospitals,5,0,0,65214.0,8359.0
HILLS & DALES GENERAL HOSPITAL,Critical Access Hospitals,4,0,1,47500.0,5891.0
SPARROW EATON HOSPITAL,Critical Access Hospitals,4,1,0,56525.0,21085.0
ALLEGAN GENERAL HOSPITAL,Critical Access Hospitals,3,0,0,54619.0,17701.0
ASPIRUS IRONWOOD HOSPITAL,Critical Access Hospitals,3,0,0,34106.0,7447.0
SOUTHEASTHEALTH CENTER OF STODDARD COUNTY,Acute Care Hospitals,2,0,0,39678.0,13434.0
BOONE COUNTY HEALTH CENTER,Critical Access Hospitals,4,0,0,55200.0,2742.0
"COMMUNITY MEDICAL CENTER, INC.",Critical Access Hospitals,4,1,0,48125.0,5070.0
BOX BUTTE GENERAL HOSPITAL,Critical Access Hospitals,4,2,0,55750.0,9994.0
MESA VIEW REGIONAL HOSPITAL,Critical Access Hospitals,2,2,0,47642.0,17467.0
HUMBOLDT GENERAL HOSPITAL,Critical Access Hospitals,2,0,0,73470.0,16309.0
WEEKS MEDICAL CENTER,Critical Access Hospitals,2,0,1,49390.0,3726.0
J ARTHUR DOSHER MEMORIAL HOSPITAL,Critical Access Hospitals,4,0,0,62524.0,19287.0
MERCY HEALTH - WILLARD HOSPITAL,Critical Access Hospitals,5,1,0,51057.0,11387.0
FOSTORIA COMMUNITY HOSPITAL,Critical Access Hospitals,3,0,0,39966.0,18713.0
OHIOHEALTH SHELBY HOSPITAL,Critical Access Hospitals,4,1,0,46354.0,13175.0
SAMARITAN NORTH LINCOLN HOSPITAL,Critical Access Hospitals,4,1,0,38028.0,9277.0
SAMARITAN PACIFIC COMMUNITY HOSPITAL,Critical Access Hospitals,3,0,0,42119.0,11260.0
SAMARITAN LEBANON COMMUNITY HOSPITAL,Critical Access Hospitals,2,1,0,45620.0,29010.0
BAPTIST MEMORIAL HOSPITAL TIPTON,Acute Care Hospitals,3,0,2,37485.0,15824.0
MEMORIAL HOSPITAL,Critical Access Hospitals,2,0,1,54278.0,16010.0
UVALDE MEMORIAL HOSPITAL,Critical Access Hospitals,3,0,0,40837.0,22156.0
NORTH COUNTRY HOSPITAL AND HEALTH CENTER,Critical Access Hospitals,2,0,0,47200.0,7103.0
AMERY HOSPITAL & CLINIC,Critical Access Hospitals,3,0,0,54426.0,7684.0
ST CROIX REGIONAL MEDICAL CTR,Critical Access Hospitals,4,2,0,50735.0,4796.0
LANGLADE HOSPITAL,Critical Access Hospitals,5,1,0,42903.0,12791.0
WASHAKIE MEDICAL CENTER,Critical Access Hospitals,2,0,0,50966.0,7716.0
JEFFERSON COUNTY HEALTH CENTER,Critical Access Hospitals,2,0,0,42064.0,13496.0
SPARROW CLINTON HOSPITAL,Critical Access Hospitals,1,0,0,57714.0,17819.0
OSF ST FRANCIS HOSPITAL AND MEDICAL GROUP,Critical Access Hospitals,4,2,0,36880.0,17131.0
SANFORD WORTHINGTON MEDICAL CENTER,Acute Care Hospitals,3,0,0,51552.0,14535.0
BLUE RIDGE REGIONAL HOSPITAL,Critical Access Hospitals,2,1,0,43216.0,10119.0
HIGHLAND DISTRICT HOSPITAL,Critical Access Hospitals,3,1,0,41789.0,24278.0
BROOKINGS HEALTH SYSTEM,Acute Care Hospitals,2,1,0,50233.0,25869.0
COPLEY HOSPITAL,Critical Access Hospitals,4,1,0,49452.0,5810.0
THEDACARE MEDICAL CENTER-WAUPACA,Critical Access Hospitals,2,2,0,55821.0,15344.0
HAYWARD AREA MEMORIAL HOSPITAL,Critical Access Hospitals,3,0,0,44311.0,11638.0
THEDACARE MEDICAL CENTER - SHAWANO,Critical Access Hospitals,4,0,0,49943.0,16746.0
BANNER PAYSON MEDICAL CENTER,Critical Access Hospitals,3,0,0,42849.0,21546.0
HEART OF THE ROCKIES REGIONAL MEDICAL CENTER,Critical Access Hospitals,5,1,0,51691.0,8941.0
ST FRANCIS HOSPITAL,Critical Access Hospitals,4,0,0,47392.0,8671.0
WINNESHIEK MEDICAL CENTER,Critical Access Hospitals,2,0,0,63306.0,13467.0
MYRTUE MEDICAL CENTER,Critical Access Hospitals,4,0,0,56094.0,6389.0
STE GENEVIEVE COUNTY MEMORIAL HOSPITAL,Critical Access Hospitals,4,0,0,49794.0,10835.0
FRANCES MAHON DEACONESS HOSPITAL,Critical Access Hospitals,2,1,0,60586.0,4580.0
YORK GENERAL HOSPITAL,Critical Access Hospitals,3,0,0,55152.0,9486.0
CARSON VALLEY MEDICAL CENTER,Critical Access Hospitals,3,0,0,60030.0,10895.0
UNIVERSITY HOSPITALS GENEVA MEDICAL CENTER,Critical Access Hospitals,4,1,0,40336.0,14375.0
FULTON COUNTY HEALTH CENTER,Critical Access Hospitals,1,0,0,55199.0,13060.0
MEMORIAL MEDICAL CENTER,Critical Access Hospitals,3,0,0,44875.0,11569.0
COBRE VALLEY REGIONAL MEDICAL CENTER,Critical Access Hospitals,3,1,0,41485.0,12657.0
LAKELAND COMMUNITY HOSPITAL,Acute Care Hospitals,5,1,0,31781.0,12977.0
FORT DEFIANCE INDIAN HOSPITAL,Acute Care Hospitals,2,0,0,30191.0,7001.0
NORTH METRO MEDICAL CENTER,Acute Care Hospitals,3,0,0,45770.0,38780.0
GLENDORA OAKS BEHAVIORAL HEALTH HOSPITAL,Acute Care Hospitals,5,0,1,76825.0,26067.0
PACIFICA HOSPITAL OF THE VALLEY,Acute Care Hospitals,1,0,0,52171.0,47934.0
LAKESIDE MEDICAL CENTER,Acute Care Hospitals,2,0,0,25830.0,22383.0
ROSELAND COMMUNITY HOSPITAL,Acute Care Hospitals,1,0,0,38206.0,67942.0
MONROE COUNTY MEDICAL CENTER,Acute Care Hospitals,1,0,2,34658.0,7953.0
WEBSTER GENERAL HOSPITAL/ SWING BED,Acute Care Hospitals,4,1,0,29493.0,5496.0
FRANKLIN REGIONAL HOSPITAL,Critical Access Hospitals,3,0,0,48429.0,8607.0
CHEROKEE NATION W W HASTINGS INDIAN HOSPITAL,Acute Care Hospitals,4,0,0,35529.0,31494.0
UT HEALTH EAST TEXAS HENDERSON HOSPITAL,Acute Care Hospitals,4,0,0,46197.0,17061.0
BAYLOR SCOTT & WHITE HEART & VASCULAR HOSPITAL - DALLAS,Acute Care Hospitals,5,0,0,52587.0,4790.0
COULEE MEDICAL CENTER,Critical Access Hospitals,2,0,1,41602.0,1669.0
JACKSON GENERAL HOSPITAL,Critical Access Hospitals,4,0,0,36238.0,9678.0
DALE MEDICAL CENTER,Acute Care Hospitals,4,0,0,42549.0,19242.0
COMMUNITY HOSPITAL INC,Acute Care Hospitals,4,0,0,51393.0,12713.0
WIREGRASS MEDICAL CENTER,Acute Care Hospitals,4,1,1,36782.0,5851.0
MEDICAL CENTER BARBOUR,Acute Care Hospitals,2,0,0,34888.0,15607.0
EVERGREEN MEDICAL CENTER,Acute Care Hospitals,2,0,0,28968.0,8143.0
THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,Acute Care Hospitals,2,0,0,38362.0,13361.0
ATMORE COMMUNITY HOSPITAL,Acute Care Hospitals,3,0,0,34985.0,18853.0
